qseqid	sseqid	qstart	qend	sstart	send	evalue	score
gi|290752373|emb|CBH40344.1|	gi|290752931|emb|CBH40906.1|	16	171	137	285	0.32	63
gi|290752373|emb|CBH40344.1|	gi|290752728|emb|CBH40702.1|	16	171	137	285	0.32	63
gi|290752373|emb|CBH40344.1|	gi|290752548|emb|CBH40520.1|	16	171	137	285	0.32	63
gi|290752373|emb|CBH40344.1|	gi|290752864|emb|CBH40839.1|	78	109	399	430	0.33	64
gi|290752373|emb|CBH40344.1|	gi|290752649|emb|CBH40622.1|	42	65	555	578	0.34	64
gi|290752373|emb|CBH40344.1|	gi|290752379|emb|CBH40350.1|	47	74	506	533	3.5	55
gi|290752373|emb|CBH40344.1|	gi|290752622|emb|CBH40595.1|	192	299	364	476	3.9	54
gi|290752373|emb|CBH40344.1|	gi|290752489|emb|CBH40461.1|	12	43	34	65	4.8	50
gi|290752373|emb|CBH40344.1|	gi|290752650|emb|CBH40623.1|	684	724	37	81	5.1	53
gi|290752373|emb|CBH40344.1|	gi|290752498|emb|CBH40470.1|	28	60	197	229	5.5	53
gi|290752373|emb|CBH40344.1|	gi|290752784|emb|CBH40759.1|	88	105	67	84	6.1	51
gi|290752373|emb|CBH40344.1|	gi|290752388|emb|CBH40359.1|	272	309	63	100	6.5	52
gi|290752373|emb|CBH40344.1|	gi|290752417|emb|CBH40388.1|	244	363	398	509	7.3	52
gi|290752373|emb|CBH40344.1|	gi|290752303|emb|CBH40274.1|	633	687	1907	1958	7.3	52
gi|290752373|emb|CBH40344.1|	gi|290752329|emb|CBH40300.1|	493	518	10	30	8.0	51
gi|290752373|emb|CBH40344.1|	gi|290752330|emb|CBH40301.1|	136	188	1053	1105	8.8	52
gi|290752373|emb|CBH40344.1|	gi|290752673|emb|CBH40646.1|	203	223	20	41	9.1	50
gi|290752373|emb|CBH40344.1|	gi|290752706|emb|CBH40680.1|	314	354	115	154	9.5	51
gi|290752373|emb|CBH40344.1|	gi|290752602|emb|CBH40574.1|	47	81	36	84	9.6	49
gi|290752374|emb|CBH40345.1|	gi|290752374|emb|CBH40345.1|	1	328	1	328	0.0	1679
gi|290752374|emb|CBH40345.1|	gi|290753052|emb|CBH41028.1|	4	26	2	25	0.029	66
gi|290752374|emb|CBH40345.1|	gi|290752914|emb|CBH40889.1|	9	26	5	22	0.029	66
gi|290752374|emb|CBH40345.1|	gi|290752494|emb|CBH40466.1|	2	30	1	28	0.031	68
gi|290752374|emb|CBH40345.1|	gi|290752907|emb|CBH40882.1|	5	36	2	33	0.20	62
gi|290752374|emb|CBH40345.1|	gi|290752651|emb|CBH40624.1|	4	113	130	233	0.22	60
gi|290752374|emb|CBH40345.1|	gi|290752786|emb|CBH40761.1|	2	28	1	28	0.60	57
gi|290752374|emb|CBH40345.1|	gi|290752901|emb|CBH40876.1|	5	26	2	23	0.62	57
gi|290752374|emb|CBH40345.1|	gi|290752904|emb|CBH40879.1|	5	26	2	23	0.62	57
gi|290752374|emb|CBH40345.1|	gi|290752947|emb|CBH40922.1|	244	294	656	710	0.70	57
gi|290752374|emb|CBH40345.1|	gi|290752322|emb|CBH40293.1|	196	283	162	239	1.0	55
gi|290752374|emb|CBH40345.1|	gi|290752663|emb|CBH40636.1|	211	326	414	526	1.8	53
gi|290752374|emb|CBH40345.1|	gi|290753050|emb|CBH41026.1|	10	31	13	32	2.5	52
gi|290752374|emb|CBH40345.1|	gi|290752409|emb|CBH40380.1|	97	155	105	161	2.6	52
gi|290752374|emb|CBH40345.1|	gi|290753065|emb|CBH41041.1|	2	60	1	59	3.0	47
gi|290752374|emb|CBH40345.1|	gi|290752429|emb|CBH40400.1|	113	210	245	335	3.7	51
gi|290752374|emb|CBH40345.1|	gi|290752792|emb|CBH40767.1|	148	174	93	119	6.1	49
gi|290752374|emb|CBH40345.1|	gi|290752286|emb|CBH40257.1|	2	28	1	27	6.4	49
gi|290752374|emb|CBH40345.1|	gi|290753007|emb|CBH40983.1|	113	141	176	203	6.5	48
gi|290752374|emb|CBH40345.1|	gi|290752996|emb|CBH40972.1|	90	124	43	74	8.8	47
gi|290752375|emb|CBH40346.1|	gi|290752375|emb|CBH40346.1|	1	163	1	163	6.49e-118	834
gi|290752375|emb|CBH40346.1|	gi|290752393|emb|CBH40364.1|	23	79	71	129	0.32	55
gi|290752375|emb|CBH40346.1|	gi|290752858|emb|CBH40833.1|	76	109	30	58	2.8	48
gi|290752375|emb|CBH40346.1|	gi|290752410|emb|CBH40381.1|	100	140	532	570	2.8	48
gi|290752375|emb|CBH40346.1|	gi|290752887|emb|CBH40862.1|	98	145	182	230	3.2	48
gi|290752375|emb|CBH40346.1|	gi|290753052|emb|CBH41028.1|	77	92	105	120	6.4	44
gi|290752376|emb|CBH40347.1|	gi|290752376|emb|CBH40347.1|	1	404	1	404	0.0	2089
gi|290752376|emb|CBH40347.1|	gi|290753074|emb|CBH41050.1|	10	394	48	467	2.32e-32	306
gi|290752376|emb|CBH40347.1|	gi|290752697|emb|CBH40671.1|	89	395	117	445	3.81e-12	150
gi|290752376|emb|CBH40347.1|	gi|290752947|emb|CBH40922.1|	12	62	241	289	1.1	56
gi|290752376|emb|CBH40347.1|	gi|290752412|emb|CBH40383.1|	241	289	9	51	3.2	49
gi|290752376|emb|CBH40347.1|	gi|290752527|emb|CBH40499.1|	128	155	320	347	4.4	51
gi|290752376|emb|CBH40347.1|	gi|290752694|emb|CBH40668.1|	303	320	17	34	6.2	49
gi|290752376|emb|CBH40347.1|	gi|290752650|emb|CBH40623.1|	334	389	318	371	8.4	49
gi|290752377|emb|CBH40348.1|	gi|290752377|emb|CBH40348.1|	1	643	1	643	0.0	3381
gi|290752377|emb|CBH40348.1|	gi|290752430|emb|CBH40401.1|	300	428	44	172	0.58	60
gi|290752377|emb|CBH40348.1|	gi|290752599|emb|CBH40571.1|	413	486	32	108	0.67	57
gi|290752377|emb|CBH40348.1|	gi|290752303|emb|CBH40274.1|	110	150	1045	1082	0.71	60
gi|290752377|emb|CBH40348.1|	gi|290752273|emb|CBH40244.1|	290	381	197	281	2.2	55
gi|290752377|emb|CBH40348.1|	gi|290752827|emb|CBH40802.1|	188	221	44	76	2.2	53
gi|290752377|emb|CBH40348.1|	gi|290752414|emb|CBH40385.1|	131	181	132	178	2.4	55
gi|290752377|emb|CBH40348.1|	gi|290752438|emb|CBH40409.1|	391	420	122	158	4.4	52
gi|290752377|emb|CBH40348.1|	gi|290752746|emb|CBH40721.1|	499	570	178	234	5.5	52
gi|290752377|emb|CBH40348.1|	gi|290752345|emb|CBH40316.1|	11	48	7	43	7.2	50
gi|290752377|emb|CBH40348.1|	gi|290752379|emb|CBH40350.1|	409	448	304	347	7.6	51
gi|290752378|emb|CBH40349.1|	gi|290752378|emb|CBH40349.1|	1	148	1	148	4.11e-109	773
gi|290752378|emb|CBH40349.1|	gi|290752369|emb|CBH40340.1|	117	144	259	286	0.020	65
gi|290752378|emb|CBH40349.1|	gi|290752413|emb|CBH40384.1|	74	122	109	163	0.25	56
gi|290752378|emb|CBH40349.1|	gi|290752907|emb|CBH40882.1|	6	126	242	361	2.3	49
gi|290752378|emb|CBH40349.1|	gi|290752871|emb|CBH40846.1|	46	61	114	129	3.0	47
gi|290752378|emb|CBH40349.1|	gi|290752538|emb|CBH40510.1|	82	109	506	533	3.7	47
gi|290752378|emb|CBH40349.1|	gi|290752511|emb|CBH40483.1|	18	113	91	190	4.0	46
gi|290752378|emb|CBH40349.1|	gi|290752514|emb|CBH40486.1|	69	134	168	247	4.6	46
gi|290752378|emb|CBH40349.1|	gi|290752582|emb|CBH40554.1|	59	103	27	71	7.7	44
gi|290752378|emb|CBH40349.1|	gi|290752709|emb|CBH40683.1|	16	60	110	150	8.9	44
gi|290752379|emb|CBH40350.1|	gi|290752379|emb|CBH40350.1|	1	685	1	685	0.0	3464
gi|290752379|emb|CBH40350.1|	gi|290752591|emb|CBH40563.1|	474	680	364	575	5.62e-11	145
gi|290752379|emb|CBH40350.1|	gi|290752893|emb|CBH40868.1|	417	653	316	553	2.17e-10	140
gi|290752379|emb|CBH40350.1|	gi|290752743|emb|CBH40718.1|	503	647	35	173	3.25e-08	118
gi|290752379|emb|CBH40350.1|	gi|290752294|emb|CBH40265.1|	495	648	4	150	3.63e-05	94
gi|290752379|emb|CBH40350.1|	gi|290752894|emb|CBH40869.1|	463	685	343	568	7.40e-05	93
gi|290752379|emb|CBH40350.1|	gi|290752592|emb|CBH40564.1|	395	635	270	520	1.19e-04	92
gi|290752379|emb|CBH40350.1|	gi|290752891|emb|CBH40866.1|	506	672	34	217	2.40e-04	89
gi|290752379|emb|CBH40350.1|	gi|290752787|emb|CBH40762.1|	606	657	472	523	0.044	70
gi|290752379|emb|CBH40350.1|	gi|290752787|emb|CBH40762.1|	471	584	42	155	3.4	54
gi|290752379|emb|CBH40350.1|	gi|290752802|emb|CBH40777.1|	506	634	36	162	0.089	66
gi|290752379|emb|CBH40350.1|	gi|290752491|emb|CBH40463.1|	605	636	207	238	0.10	67
gi|290752379|emb|CBH40350.1|	gi|290752280|emb|CBH40251.1|	492	534	15	67	0.13	66
gi|290752379|emb|CBH40350.1|	gi|290752979|emb|CBH40955.1|	602	636	207	241	0.15	65
gi|290752379|emb|CBH40350.1|	gi|290752979|emb|CBH40955.1|	506	554	46	104	1.7	56
gi|290752379|emb|CBH40350.1|	gi|290752391|emb|CBH40362.1|	495	563	33	100	0.16	65
gi|290752379|emb|CBH40350.1|	gi|290752424|emb|CBH40395.1|	495	668	23	189	0.21	63
gi|290752379|emb|CBH40350.1|	gi|290752373|emb|CBH40344.1|	606	653	621	668	0.29	63
gi|290752379|emb|CBH40350.1|	gi|290752373|emb|CBH40344.1|	506	533	47	74	3.2	55
gi|290752379|emb|CBH40350.1|	gi|290753081|emb|CBH41057.1|	506	635	157	285	0.35	62
gi|290752379|emb|CBH40350.1|	gi|290752423|emb|CBH40394.1|	512	557	153	205	0.57	61
gi|290752379|emb|CBH40350.1|	gi|290752331|emb|CBH40302.1|	309	459	170	335	1.3	57
gi|290752379|emb|CBH40350.1|	gi|290752454|emb|CBH40426.1|	493	569	207	283	3.7	54
gi|290752379|emb|CBH40350.1|	gi|290752510|emb|CBH40482.1|	352	376	169	195	4.0	53
gi|290752379|emb|CBH40350.1|	gi|290753007|emb|CBH40983.1|	503	532	4	34	6.4	51
gi|290752379|emb|CBH40350.1|	gi|290752645|emb|CBH40618.1|	242	273	1	32	7.3	51
gi|290752379|emb|CBH40350.1|	gi|290752354|emb|CBH40325.1|	137	178	113	151	8.5	50
gi|290752379|emb|CBH40350.1|	gi|290752377|emb|CBH40348.1|	304	347	409	448	9.2	51
gi|290752379|emb|CBH40350.1|	gi|290752895|emb|CBH40870.1|	356	383	352	379	9.7	50
gi|290752380|emb|CBH40351.1|	gi|290752380|emb|CBH40351.1|	1	129	1	129	1.31e-90	647
gi|290752380|emb|CBH40351.1|	gi|290752649|emb|CBH40622.1|	32	76	763	808	0.60	52
gi|290752380|emb|CBH40351.1|	gi|290752435|emb|CBH40406.1|	49	120	58	124	2.2	48
gi|290752380|emb|CBH40351.1|	gi|290752933|emb|CBH40908.1|	83	110	31	58	2.3	47
gi|290752380|emb|CBH40351.1|	gi|290752726|emb|CBH40700.1|	83	110	31	58	2.3	47
gi|290752380|emb|CBH40351.1|	gi|290752546|emb|CBH40518.1|	83	110	31	58	2.3	47
gi|290752380|emb|CBH40351.1|	gi|290752579|emb|CBH40551.1|	1	40	1	40	2.5	47
gi|290752380|emb|CBH40351.1|	gi|290752459|emb|CBH40431.1|	58	71	38	51	3.1	46
gi|290752380|emb|CBH40351.1|	gi|290752912|emb|CBH40887.1|	55	74	1228	1247	5.6	45
gi|290752380|emb|CBH40351.1|	gi|290752427|emb|CBH40398.1|	33	54	858	879	6.0	44
gi|290752380|emb|CBH40351.1|	gi|290752522|emb|CBH40494.1|	80	111	82	118	8.2	43
gi|290752380|emb|CBH40351.1|	gi|290752281|emb|CBH40252.1|	10	27	43	60	8.5	43
gi|290752380|emb|CBH40351.1|	gi|290752287|emb|CBH40258.1|	74	106	56	93	8.6	41
gi|290752380|emb|CBH40351.1|	gi|290752710|emb|CBH40684.1|	111	126	23	38	9.1	43
gi|290752380|emb|CBH40351.1|	gi|290752971|emb|CBH40946.1|	34	74	223	262	9.3	43
gi|290752381|emb|CBH40352.1|	gi|290752381|emb|CBH40352.1|	1	152	1	152	5.90e-112	792
gi|290752381|emb|CBH40352.1|	gi|290752894|emb|CBH40869.1|	123	140	333	350	2.0	49
gi|290752381|emb|CBH40352.1|	gi|290752680|emb|CBH40653.1|	24	51	304	331	2.9	47
gi|290752381|emb|CBH40352.1|	gi|290752924|emb|CBH40899.1|	26	50	304	328	3.2	48
gi|290752381|emb|CBH40352.1|	gi|290752924|emb|CBH40899.1|	40	60	553	573	5.6	46
gi|290752381|emb|CBH40352.1|	gi|290752734|emb|CBH40709.1|	26	50	304	328	3.2	48
gi|290752381|emb|CBH40352.1|	gi|290752734|emb|CBH40709.1|	40	60	553	573	5.6	46
gi|290752381|emb|CBH40352.1|	gi|290752556|emb|CBH40528.1|	26	50	304	328	3.2	48
gi|290752381|emb|CBH40352.1|	gi|290752556|emb|CBH40528.1|	40	60	553	573	5.6	46
gi|290752381|emb|CBH40352.1|	gi|290752677|emb|CBH40650.1|	61	115	99	158	3.5	47
gi|290752381|emb|CBH40352.1|	gi|290752718|emb|CBH40692.1|	56	71	239	254	6.3	45
gi|290752381|emb|CBH40352.1|	gi|290752856|emb|CBH40831.1|	105	139	106	140	6.6	44
gi|290752381|emb|CBH40352.1|	gi|290752974|emb|CBH40950.1|	8	108	262	348	7.4	44
gi|290752381|emb|CBH40352.1|	gi|290752433|emb|CBH40404.1|	10	37	370	397	8.7	44
gi|290752381|emb|CBH40352.1|	gi|290752641|emb|CBH40614.1|	27	118	73	176	8.9	43
gi|290752382|emb|CBH40353.1|	gi|290752382|emb|CBH40353.1|	1	130	1	130	1.33e-97	693
gi|290752382|emb|CBH40353.1|	gi|290752290|emb|CBH40261.1|	4	90	78	160	2.7	47
gi|290752382|emb|CBH40353.1|	gi|290752982|emb|CBH40958.1|	34	79	63	108	6.3	44
gi|290752382|emb|CBH40353.1|	gi|290752861|emb|CBH40836.1|	99	115	144	160	7.9	43
gi|290752383|emb|CBH40354.1|	gi|290752383|emb|CBH40354.1|	1	290	1	290	0.0	1494
gi|290752383|emb|CBH40354.1|	gi|290752318|emb|CBH40289.1|	6	136	221	356	4.00e-13	154
gi|290752383|emb|CBH40354.1|	gi|290753061|emb|CBH41037.1|	1	118	1	118	3.35e-11	139
gi|290752383|emb|CBH40354.1|	gi|290752671|emb|CBH40644.1|	7	208	6	232	2.05e-06	101
gi|290752383|emb|CBH40354.1|	gi|290752406|emb|CBH40377.1|	4	60	20	73	5.10e-06	95
gi|290752383|emb|CBH40354.1|	gi|290752354|emb|CBH40325.1|	8	64	131	183	9.09e-05	87
gi|290752383|emb|CBH40354.1|	gi|290753021|emb|CBH40997.1|	5	81	114	176	0.020	69
gi|290752383|emb|CBH40354.1|	gi|290752792|emb|CBH40767.1|	6	63	160	216	0.020	68
gi|290752383|emb|CBH40354.1|	gi|290752470|emb|CBH40442.1|	8	61	153	209	0.15	61
gi|290752383|emb|CBH40354.1|	gi|290752480|emb|CBH40452.1|	29	134	748	836	0.26	60
gi|290752383|emb|CBH40354.1|	gi|290752469|emb|CBH40441.1|	159	228	66	138	0.66	56
gi|290752383|emb|CBH40354.1|	gi|290752979|emb|CBH40955.1|	5	26	41	62	1.1	54
gi|290752383|emb|CBH40354.1|	gi|290752524|emb|CBH40496.1|	49	138	118	194	1.9	52
gi|290752383|emb|CBH40354.1|	gi|290753083|emb|CBH41059.1|	177	220	564	604	2.4	52
gi|290752383|emb|CBH40354.1|	gi|290752676|emb|CBH40649.1|	141	196	356	405	3.2	51
gi|290752383|emb|CBH40354.1|	gi|290752925|emb|CBH40900.1|	6	24	528	546	5.2	49
gi|290752383|emb|CBH40354.1|	gi|290752733|emb|CBH40708.1|	6	24	528	546	5.2	49
gi|290752383|emb|CBH40354.1|	gi|290752555|emb|CBH40527.1|	6	24	528	546	5.2	49
gi|290752383|emb|CBH40354.1|	gi|290752893|emb|CBH40868.1|	5	53	400	458	5.3	49
gi|290752383|emb|CBH40354.1|	gi|290752953|emb|CBH40928.1|	188	267	273	349	5.5	49
gi|290752383|emb|CBH40354.1|	gi|290752304|emb|CBH40275.1|	186	277	227	296	8.2	47
gi|290752384|emb|CBH40355.1|	gi|290752384|emb|CBH40355.1|	1	350	1	350	0.0	1859
gi|290752384|emb|CBH40355.1|	gi|290752808|emb|CBH40783.1|	123	344	5	247	1.04e-14	165
gi|290752384|emb|CBH40355.1|	gi|290752683|emb|CBH40656.1|	222	319	5	118	0.50	58
gi|290752384|emb|CBH40355.1|	gi|290752421|emb|CBH40392.1|	237	276	75	114	1.0	55
gi|290752384|emb|CBH40355.1|	gi|290752991|emb|CBH40967.1|	33	76	237	280	6.8	49
gi|290752384|emb|CBH40355.1|	gi|290752463|emb|CBH40435.1|	114	162	150	198	7.1	49
gi|290752384|emb|CBH40355.1|	gi|290752860|emb|CBH40835.1|	15	57	324	351	9.0	48
gi|290752385|emb|CBH40356.1|	gi|290752385|emb|CBH40356.1|	1	478	1	478	0.0	2552
gi|290752385|emb|CBH40356.1|	gi|290752620|emb|CBH40593.1|	126	385	288	580	2.08e-07	113
gi|290752385|emb|CBH40356.1|	gi|290752523|emb|CBH40495.1|	98	375	160	449	3.64e-05	94
gi|290752385|emb|CBH40356.1|	gi|290752537|emb|CBH40509.1|	29	135	17	115	0.11	65
gi|290752385|emb|CBH40356.1|	gi|290752802|emb|CBH40777.1|	393	453	57	115	0.69	58
gi|290752385|emb|CBH40356.1|	gi|290752905|emb|CBH40880.1|	292	377	356	438	3.4	53
gi|290752385|emb|CBH40356.1|	gi|290752389|emb|CBH40360.1|	77	154	148	218	3.4	53
gi|290752385|emb|CBH40356.1|	gi|290752619|emb|CBH40592.1|	68	221	176	329	4.0	52
gi|290752386|emb|CBH40357.1|	gi|290752386|emb|CBH40357.1|	1	123	1	123	1.60e-88	632
gi|290752386|emb|CBH40357.1|	gi|290752295|emb|CBH40266.1|	19	118	18	115	3.04e-04	74
gi|290752386|emb|CBH40357.1|	gi|290752509|emb|CBH40481.1|	22	99	214	287	1.0	50
gi|290752386|emb|CBH40357.1|	gi|290752846|emb|CBH40821.1|	2	118	65	178	2.1	47
gi|290752386|emb|CBH40357.1|	gi|290753047|emb|CBH41023.1|	12	51	73	112	2.4	47
gi|290752386|emb|CBH40357.1|	gi|290752819|emb|CBH40794.1|	12	51	73	112	2.4	47
gi|290752386|emb|CBH40357.1|	gi|290752854|emb|CBH40829.1|	13	35	51	77	4.9	44
gi|290752386|emb|CBH40357.1|	gi|290752337|emb|CBH40308.1|	63	94	266	297	5.8	44
gi|290752386|emb|CBH40357.1|	gi|290753045|emb|CBH41021.1|	24	62	110	144	6.3	44
gi|290752386|emb|CBH40357.1|	gi|290752885|emb|CBH40860.1|	4	23	72	91	6.4	44
gi|290752386|emb|CBH40357.1|	gi|290752476|emb|CBH40448.1|	37	73	104	138	6.4	44
gi|290752386|emb|CBH40357.1|	gi|290753069|emb|CBH41045.1|	4	20	43	59	7.1	43
gi|290752386|emb|CBH40357.1|	gi|290753012|emb|CBH40988.1|	1	83	133	230	7.4	43
gi|290752387|emb|CBH40358.1|	gi|290752387|emb|CBH40358.1|	1	606	1	606	0.0	3194
gi|290752387|emb|CBH40358.1|	gi|290752303|emb|CBH40274.1|	131	191	410	461	0.28	63
gi|290752387|emb|CBH40358.1|	gi|290752688|emb|CBH40662.1|	396	457	211	272	1.8	56
gi|290752387|emb|CBH40358.1|	gi|290752861|emb|CBH40836.1|	129	216	12	101	3.2	54
gi|290752387|emb|CBH40358.1|	gi|290752858|emb|CBH40833.1|	461	588	436	552	3.4	54
gi|290752387|emb|CBH40358.1|	gi|290752659|emb|CBH40632.1|	424	497	56	134	3.7	53
gi|290752387|emb|CBH40358.1|	gi|290752713|emb|CBH40687.1|	69	85	65	81	7.6	51
gi|290752387|emb|CBH40358.1|	gi|290752506|emb|CBH40478.1|	251	283	88	122	7.6	51
gi|290752387|emb|CBH40358.1|	gi|290752904|emb|CBH40879.1|	18	48	876	906	7.8	51
gi|290752387|emb|CBH40358.1|	gi|290753080|emb|CBH41056.1|	197	226	52	79	8.9	50
gi|290752387|emb|CBH40358.1|	gi|290752676|emb|CBH40649.1|	17	59	665	700	9.6	50
gi|290752388|emb|CBH40359.1|	gi|290752388|emb|CBH40359.1|	1	232	1	232	1.45e-174	1220
gi|290752388|emb|CBH40359.1|	gi|290752895|emb|CBH40870.1|	108	169	488	544	1.2	53
gi|290752388|emb|CBH40359.1|	gi|290752713|emb|CBH40687.1|	167	210	251	294	1.3	53
gi|290752388|emb|CBH40359.1|	gi|290752373|emb|CBH40344.1|	63	100	272	309	1.9	52
gi|290752388|emb|CBH40359.1|	gi|290752679|emb|CBH40652.1|	121	180	430	485	4.1	49
gi|290752388|emb|CBH40359.1|	gi|290753075|emb|CBH41051.1|	90	117	473	500	9.0	46
gi|290752388|emb|CBH40359.1|	gi|290752933|emb|CBH40908.1|	57	136	40	118	9.2	45
gi|290752388|emb|CBH40359.1|	gi|290752726|emb|CBH40700.1|	57	136	40	118	9.2	45
gi|290752388|emb|CBH40359.1|	gi|290752546|emb|CBH40518.1|	57	136	40	118	9.2	45
gi|290752389|emb|CBH40360.1|	gi|290752389|emb|CBH40360.1|	1	795	1	795	0.0	4259
gi|290752389|emb|CBH40360.1|	gi|290752846|emb|CBH40821.1|	43	91	1	49	1.8	56
gi|290752389|emb|CBH40360.1|	gi|290752536|emb|CBH40508.1|	235	294	101	170	2.6	55
gi|290752389|emb|CBH40360.1|	gi|290752567|emb|CBH40539.1|	1	27	184	210	3.8	55
gi|290752389|emb|CBH40360.1|	gi|290752924|emb|CBH40899.1|	59	82	886	909	4.5	54
gi|290752389|emb|CBH40360.1|	gi|290752734|emb|CBH40709.1|	59	82	886	909	4.5	54
gi|290752389|emb|CBH40360.1|	gi|290752556|emb|CBH40528.1|	59	82	886	909	4.5	54
gi|290752389|emb|CBH40360.1|	gi|290752318|emb|CBH40289.1|	146	220	39	117	9.3	51
gi|290752389|emb|CBH40360.1|	gi|290752912|emb|CBH40887.1|	556	615	1042	1105	9.5	51
gi|290752390|emb|CBH40361.1|	gi|290752390|emb|CBH40361.1|	1	621	1	621	0.0	3250
gi|290752390|emb|CBH40361.1|	gi|290752318|emb|CBH40289.1|	187	242	319	373	0.038	70
gi|290752390|emb|CBH40361.1|	gi|290752690|emb|CBH40664.1|	105	185	216	279	0.11	66
gi|290752390|emb|CBH40361.1|	gi|290752501|emb|CBH40473.1|	206	287	78	149	1.9	55
gi|290752390|emb|CBH40361.1|	gi|290752910|emb|CBH40885.1|	72	141	856	916	3.9	54
gi|290752390|emb|CBH40361.1|	gi|290752298|emb|CBH40269.1|	246	354	117	219	4.4	53
gi|290752390|emb|CBH40361.1|	gi|290752906|emb|CBH40881.1|	205	252	313	366	4.7	53
gi|290752390|emb|CBH40361.1|	gi|290752302|emb|CBH40273.1|	546	580	101	138	5.8	52
gi|290752390|emb|CBH40361.1|	gi|290752603|emb|CBH40575.1|	178	202	23	47	9.4	49
gi|290752390|emb|CBH40361.1|	gi|290752911|emb|CBH40886.1|	227	276	762	797	9.6	50
gi|290752391|emb|CBH40362.1|	gi|290752391|emb|CBH40362.1|	1	470	1	470	0.0	2460
gi|290752391|emb|CBH40362.1|	gi|290752787|emb|CBH40762.1|	225	381	469	623	1.06e-35	340
gi|290752391|emb|CBH40362.1|	gi|290752787|emb|CBH40762.1|	6	111	41	143	3.52e-25	258
gi|290752391|emb|CBH40362.1|	gi|290752979|emb|CBH40955.1|	31	336	33	319	2.75e-35	328
gi|290752391|emb|CBH40362.1|	gi|290752491|emb|CBH40463.1|	226	336	206	316	2.09e-26	262
gi|290752391|emb|CBH40362.1|	gi|290752298|emb|CBH40269.1|	26	331	56	382	2.30e-19	209
gi|290752391|emb|CBH40362.1|	gi|290752299|emb|CBH40270.1|	197	309	209	326	2.08e-16	186
gi|290752391|emb|CBH40362.1|	gi|290752299|emb|CBH40270.1|	25	155	112	248	5.87e-04	84
gi|290752391|emb|CBH40362.1|	gi|290752373|emb|CBH40344.1|	230	340	623	727	4.88e-16	184
gi|290752391|emb|CBH40362.1|	gi|290752373|emb|CBH40344.1|	11	102	10	108	0.001	82
gi|290752391|emb|CBH40362.1|	gi|290752802|emb|CBH40777.1|	192	330	102	232	5.71e-16	177
gi|290752391|emb|CBH40362.1|	gi|290752802|emb|CBH40777.1|	26	173	18	168	2.35e-09	126
gi|290752391|emb|CBH40362.1|	gi|290752526|emb|CBH40498.1|	8	331	1	303	5.90e-14	163
gi|290752391|emb|CBH40362.1|	gi|290752372|emb|CBH40343.1|	231	332	191	292	1.60e-13	161
gi|290752391|emb|CBH40362.1|	gi|290752372|emb|CBH40343.1|	26	52	56	82	1.0	57
gi|290752391|emb|CBH40362.1|	gi|290752801|emb|CBH40776.1|	202	309	136	243	4.36e-13	156
gi|290752391|emb|CBH40362.1|	gi|290752801|emb|CBH40776.1|	12	69	3	65	6.38e-05	91
gi|290752391|emb|CBH40362.1|	gi|290752743|emb|CBH40718.1|	202	309	106	213	1.41e-10	134
gi|290752391|emb|CBH40362.1|	gi|290752743|emb|CBH40718.1|	27	77	21	71	1.65e-05	95
gi|290752391|emb|CBH40362.1|	gi|290752424|emb|CBH40395.1|	225	309	122	206	4.90e-10	130
gi|290752391|emb|CBH40362.1|	gi|290752424|emb|CBH40395.1|	11	145	3	129	1.66e-09	126
gi|290752391|emb|CBH40362.1|	gi|290753081|emb|CBH41057.1|	26	107	139	226	5.70e-10	132
gi|290752391|emb|CBH40362.1|	gi|290753081|emb|CBH41057.1|	229	317	257	344	2.75e-07	111
gi|290752391|emb|CBH40362.1|	gi|290752280|emb|CBH40251.1|	10	316	5	231	1.03e-07	115
gi|290752391|emb|CBH40362.1|	gi|290752280|emb|CBH40251.1|	231	309	424	501	1.27e-05	98
gi|290752391|emb|CBH40362.1|	gi|290752280|emb|CBH40251.1|	9	74	261	327	0.004	77
gi|290752391|emb|CBH40362.1|	gi|290752893|emb|CBH40868.1|	27	109	388	471	2.29e-07	112
gi|290752391|emb|CBH40362.1|	gi|290752294|emb|CBH40265.1|	30	83	1	54	1.21e-06	104
gi|290752391|emb|CBH40362.1|	gi|290752294|emb|CBH40265.1|	226	309	108	190	3.41e-06	101
gi|290752391|emb|CBH40362.1|	gi|290752894|emb|CBH40869.1|	208	262	468	524	2.42e-06	104
gi|290752391|emb|CBH40362.1|	gi|290752894|emb|CBH40869.1|	27	69	372	414	0.11	65
gi|290752391|emb|CBH40362.1|	gi|290752891|emb|CBH40866.1|	11	107	1	88	4.45e-06	102
gi|290752391|emb|CBH40362.1|	gi|290752891|emb|CBH40866.1|	228	292	153	213	1.65e-04	88
gi|290752391|emb|CBH40362.1|	gi|290752891|emb|CBH40866.1|	226	291	442	503	3.06e-04	86
gi|290752391|emb|CBH40362.1|	gi|290752891|emb|CBH40866.1|	23	70	332	379	0.20	63
gi|290752391|emb|CBH40362.1|	gi|290752592|emb|CBH40564.1|	230	262	493	525	9.84e-06	99
gi|290752391|emb|CBH40362.1|	gi|290752592|emb|CBH40564.1|	12	107	357	455	4.05e-04	85
gi|290752391|emb|CBH40362.1|	gi|290752591|emb|CBH40563.1|	24	77	380	433	4.87e-04	85
gi|290752391|emb|CBH40362.1|	gi|290752591|emb|CBH40563.1|	176	311	433	581	0.006	76
